Key,en,es,ar
Update Customer,Update Customer,Actualizar cliente,تحديث العميل
Card Holder's Name,Card Holder's Name,Nombre del tarjetahabiente,اسم حامل البطاقة
Enter Card Holder's Name,Enter Card Holder's Name,Ingrese el nombre del titular de la tarjeta,أدخل اسم حامل البطاقة
Buy Card,Buy Card,Comprar Tarjeta,شراء البطاقة
Card Amount,Card Amount,Monto de la tarjeta,مبلغ البطاقة
Preview,Preview,Avance,معاينة
Please follow the transaction limit.,Please follow the transaction limit.,Siga el límite de transacciones.,يرجى اتباع حد المعاملة.
Default currency not found.,Default currency not found.,Moneda predeterminada no encontrada.,لم يتم العثور على العملة الافتراضية.
"Sorry, insufficient balance.","Sorry, insufficient balance.","Lo sentimos, saldo insuficiente.",عذرا، الرصيد غير كاف.
Sorry! You can not create more than,Sorry! You can not create more than,¡Lo siento! No puedes crear más de,آسف! لا يمكنك إنشاء أكثر من
card using the same email address.,card using the same email address.,tarjeta utilizando la misma dirección de correo electrónico.,البطاقة باستخدام نفس عنوان البريد الإلكتروني.
Virtual Card Buy Successfully.,Virtual Card Buy Successfully.,Compra de tarjeta virtual con éxito.,تم شراء البطاقة الافتراضية بنجاح.
Data is not saved properly.,Data is not saved properly.,Los datos no se guardan correctamente.,لا يتم حفظ البيانات بشكل صحيح.
Your Card Is Pending! Please Contact With Admin.,Your Card Is Pending! Please Contact With Admin.,¡Tu tarjeta está pendiente! Por favor contacte con el administrador.,بطاقتك معلقة! يرجى الاتصال مع المشرف.
Card Type,Card Type,Tipo de tarjeta,نوع البطاقة
Card Brand,Card Brand,Marca de tarjeta,العلامة التجارية للبطاقة
Card ID,Card ID,Identificación de tarjeta,معرف البطاقة
Customer ID,Customer ID,ID de cliente,معرف العميل
Cvv,Cvv,cvv,السيرة الذاتية
Expiration,Expiration,Vencimiento,انتهاء
UnFreeze,UnFreeze,Descongelar,إلغاء التجميد
Freeze,Freeze,Congelar,تجميد
Billing Address,Billing Address,Dirección de Envio,عنوان الفواتير
Billing Country,Billing Country,País de facturación,بلد إرسال الفواتير
Billing City,Billing City,Ciudad de facturación,مدينة الفواتير
Billing State,Billing State,Estado de facturación,دولة إرسال الفواتير
Billing Zip Code,Billing Zip Code,Código postal de facturación,الرمز البريدي للفواتير
United State,United State,Estados Unidos,الدولة المتحدة
Miami,Miami,miami,ميامي
Card Freeze successfully!,Card Freeze successfully!,¡Congelación de tarjeta exitosa!,تم تجميد البطاقة بنجاح!
Card UnFreeze successfully!,Card UnFreeze successfully!,¡Descongelación de tarjeta exitosa!,تم إلغاء تجميد البطاقة بنجاح!
Status Updated Successfully!,Status Updated Successfully!,¡Estado actualizado exitosamente!,تم تحديث الحالة بنجاح!
Something is wrong in your card.,Something is wrong in your card.,Algo anda mal en tu tarjeta.,هناك خطأ ما في بطاقتك.
Please Contact With Administration.,Please Contact With Administration.,Por favor contacte con la administración.,يرجى التواصل مع الإدارة.
Card Funded Successfully.,Card Funded Successfully.,Tarjeta financiada con éxito.,تم تمويل البطاقة بنجاح.
"Ex: Transaction, Add Money","Ex: Transaction, Add Money","Ej: transacción, agregar dinero",على سبيل المثال: المعاملة، إضافة المال
Add Money via,Add Money via,Agregar dinero a través de,أضف المال عبر
Money Out From,Money Out From,Salida de dinero de,الأموال الخارجة من
Balance Update,Balance Update,Actualización de saldo,تحديث الرصيد
by,by,por,بواسطة
Transfer Type,Transfer Type,Tipo de transferencia,نوع النقل
Downlaod Statement,Downlaod Statement,Declaración de descarga,بيان التحميل
Downlaod,Downlaod,Descargar,تحميل
From,From,De,من
Receiver Data,Receiver Data,Datos del receptor,بيانات المتلقي
Bank Statement,Bank Statement,Extracto de cuenta,كشف حساب البنك
Filter By Date,Filter By Date,Filtrar por fecha,تصفية حسب التاريخ
Filter By Trx Id,Filter By Trx Id,Filtrar por ID de Trx,التصفية حسب معرف Trx
Filter By Type,Filter By Type,Filtrar por tipo,تصفية حسب النوع
Filter By Status,Filter By Status,Filtrar por estado,تصفية حسب الحالة
Filter Data,Filter Data,Filtrar datos,تصفية البيانات
Google Authenticator is a product based authenticator by Google that executes two-venture confirmation administrations for verifying clients of any programming applications,Google Authenticator is a product based authenticator by Google that executes two-venture confirmation administrations for verifying clients of any programming applications,Google Authenticator es un autenticador basado en productos de Google que ejecuta administraciones de confirmación de dos empresas para verificar clientes de cualquier aplicación de programación.,Google Authenticator عبارة عن أداة مصادقة قائمة على المنتج من Google والتي تنفذ خدمات تأكيد المشروعين للتحقق من عملاء أي تطبيقات برمجية
Money Out Successful.,Money Out Successful.,Salida de dinero exitosa.,تم إخراج الأموال بنجاح.
Successfully added.,Successfully added.,Agregado exitosamente.,تمت الإضافة بنجاح.
Fund Transfer Successful.,Fund Transfer Successful.,Transferencia de fondos exitosa.,تم تحويل الأموال بنجاح.
Card Fund Successful.,Card Fund Successful.,Fondo de tarjeta exitoso.,تم تمويل البطاقة بنجاح.
Card Buy Successful.,Card Buy Successful.,Compra de tarjeta exitosa.,تمت عملية شراء البطاقة بنجاح.
Gender,Gender,Género,جنس
Select Gender,Select Gender,Seleccione Género,حدد الجنس
Login Here,Login Here,Inicia sesión aquí,تسجيل الدخول هنا
Verify 2FA,Verify 2FA,Verificar 2FA,التحقق من المصادقة الثنائية (2FA).
Two Factor Authorization,Two Factor Authorization,Autorización de dos factores,إذن عاملين
Please enter your authorization code to access dashboard.,Please enter your authorization code to access dashboard.,Ingrese su código de autorización para acceder al panel.,الرجاء إدخال رمز التفويض الخاص بك للوصول إلى لوحة التحكم.
Customer Reviews,Customer Reviews,Comentarios de clientes,مراجعات العملاء
My Beneficiary,My Beneficiary,Mi beneficiario,المستفيد الخاص بي
Select Beneficiary,Select Beneficiary,Seleccionar Beneficiario,اختر المستفيد
appLCopiedToClipboard,Copied to clipboard,Copiado al portapapeles,تم النسخ إلى الحافظة
appLCopy,Copy,Copiar,ينسخ
appLRestart,Restart,Reanudar,إعادة تشغيل
appLReceiveAmount,Receive Amount,Recibir cantidad,استلام المبلغ
appLServerError,Server Error,Error del servidor,خطأ في الخادم
appLPleaseFillOutTheField,Please Fill Out The Field,Por favor complete el campo,يرجى ملء الحقل
appLLogIn,Login Now,Iniciar sesión ahora,تسجيل الدخول الآن
appLPassword,Password,Contraseña,كلمة المرور
appLEmailAddress,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني
appLSubmit,Submit,Entregar,يُقدِّم
appLResubmit,Resubmit,Reenviar,إعادة الإرسال
appLNewPassword,New Password,Nueva contraseña,كلمة المرور الجديدة
appLConfirmPassword,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور
appLEnter,Enter,Ingresar,يدخل
appLResetPassword,Reset Password,Restablecer contraseña,إعادة تعيين كلمة المرور
appLFirstName,First Name,Nombre de pila,الاسم الأول
appLLastName,Last Name,Apellido,اسم العائلة
appLConfirm,Confirm,Confirmar,يتأكد
appLFrom,From,De,من
appLEmail,Email,Correo electrónico,بريد إلكتروني
appLName,Name,Nombre,اسم
appLCardHolder,Card Holder,Titular de la tarjeta,حامل البطاقة
appLAlreadyHaveAn,Already have an account?,¿Ya tienes una cuenta?,هل لديك حساب بالفعل؟
appLForgotPassword,Forgot Password?,¿Has olvidado tu contraseña?,هل نسيت كلمة السر؟
appLReset,RESET,REINICIAR,إعادة ضبط
appLRememberMe,Remember Me,Acuérdate de mí,تذكرنى
appLFromGallery,From Gallery,De la galería,من المعرض
appLFromCamera,From Camera,Desde la cámara,من الكاميرا
appLRegisterForAnAccount,Register Information,Información de registro,تسجيل المعلومات
appLBecomeAPart,Please input your details and register to your account to get access to your dashboard.,Ingrese sus datos y regístrese en su cuenta para obtener acceso a su panel de control.,يرجى إدخال التفاصيل الخاصة بك والتسجيل في حسابك للوصول إلى لوحة التحكم الخاصة بك.
appLLogInAndStay,Login Information,Información de inicio de sesión,معلومات تسجيل الدخول
appLOurSecureLogIn,Please input your email and login to your account to get access to your dashboard.,Ingrese su correo electrónico e inicie sesión en su cuenta para obtener acceso a su panel de control.,يرجى إدخال بريدك الإلكتروني وتسجيل الدخول إلى حسابك لتتمكن من الوصول إلى لوحة التحكم الخاصة بك.
appLResetYourForgotten,Reset Your Forgotten Password,Restablecer su contraseña olvidada,إعادة تعيين كلمة المرور المنسية
appLTakeControl,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios para restablecer su contraseña de forma segura.,السيطرة على حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. ترشدك صفحة استعادة كلمة المرور الخاصة بنا إلى الخطوات اللازمة لإعادة تعيين كلمة المرور الخاصة بك بشكل آمن.
appLPleaseEnterTheCode,Please Enter The Code,Por favor ingrese el código,الرجاء إدخال الرمز
appLEnterTheOtpVerification,We sent a 6 digit code here,Enviamos un código de 6 dígitos aquí.,لقد أرسلنا رمزًا مكونًا من 6 أرقام هنا
appLNowYouAreAble,We sent a 6 digit code here,Enviamos un código de 6 dígitos aquí.,لقد أرسلنا رمزًا مكونًا من 6 أرقام هنا
appLRegisterNow,Register Now,Regístrese ahora,سجل الآن
appLAvailableBalance,Available Balance,Saldo disponible,الرصيد المتاح
appLTransactionHistory,Transaction History,Historial de transacciones,تاريخ المعاملات
appLShowBalance,Show Balance,Mostrar saldo,إظهار الرصيد
appLAddMoney,Add Money,Agregar dinero,أضف المال
appLMoneyTransfer,Money Transfer,Transferencia de dinero,تحويل الأموال
appLPending,Pending,Pendiente,قيد الانتظار
appLRejected,Rejected,Rechazado,مرفوض
appLVerified,Verified,Verificado,تم التحقق منه
appLSubmitLegalDocs,Submit legal docs for KYC verification,Envíe documentos legales para la verificación KYC,إرسال المستندات القانونية للتحقق من KYC
appLHome,Home,Hogar,بيت
appLTransfer,Transfer,Transferir,تحويل
appLTransferAmount,Transfer Amount,Monto de la transferencia,مبلغ التحويل
appLAmount,Amount,Cantidad,كمية
appLSelectPaymentGateway,Select Payment Gateway,Seleccione Pasarela de Pago,حدد بوابة الدفع
appLLimit,Limit,Límite,حد
appLCharge,Charge,Cargar,تكلفة
appLTransactionPreview,Transaction Preview,Vista previa de la transacción,معاينة المعاملات
appLGateway,Gateway,Puerta,بوابة
appLTotalPayableAmount,Total Payable Amount,Monto total a pagar,إجمالي المبلغ المستحق
appLConfirmation,Confirmation,Confirmación,تأكيد
appLYourMoneyHas,Your money has been successfully added to your wallet.,Su dinero se ha agregado exitosamente a su billetera.,تمت إضافة أموالك إلى محفظتك بنجاح.
appLStatus,Status,Estado,حالة
appLBackToHome,Back to Home,Volver a Inicio,العودة إلى المنزل
appLUpdate,Update,Actualizar,تحديث
appLTransferFrom,Transfer From,Transferir desde,نقل من
appLReceiver,Receiver,Receptor,المتلقي
appLRemarks,Remarks,Observaciones,ملاحظات
appLWriteHere,Write here,Escribe aquí,اكتب هنا
appLOptional,Optional,Opcional,خياري
appLCardType,Card Type,Tipo de tarjeta,نوع البطاقة
appLCardHolderName,Card Holder Name,Nombre del titular de la tarjeta,اسم حامل البطاقة
appLNewTo,New to,Nuevo en,جديد ل
appLSendOtp,Send OTP,Enviar OTP,أرسل كلمة مرور لمرة واحدة
appLYouCanResend,You can resend the code after,Puedes reenviar el código después,يمكنك إعادة إرسال الرمز بعد ذلك
appLAgree,I have agreed with,he estado de acuerdo con,لقد اتفقت مع
appLTermsOfUse,Terms Of Use & Privacy Policy,Términos de uso y política de privacidad,شروط الاستخدام وسياسة الخصوصية
appLKycInformation,KYC Information,Información KYC,معلومات اعرف عميلك
appLUnverified,Unverified,Inconfirmado,لم يتم التحقق منها
appLSkipNow,Skip Now,Saltar ahora,تخطي الآن
appLResend,Resend,Reenviar,إعادة الإرسال
appLPleaseSubmitYourKyc,Please submit your KYC information with valid and accurate data.,Envíe su información KYC con datos válidos y precisos.,يرجى تقديم معلومات KYC الخاصة بك مع بيانات صحيحة ودقيقة.
appLPayment,Payment,Pago,قسط
appLNotifications,Notifications,Notificaciones,إشعارات
appLExchangeRate,Exchange Rate,Tipo de cambio,سعر الصرف
appLSuccess,Success,Éxito,نجاح
appLWallet,Wallet,Billetera,محفظة
appLMenu,Menu,Menú,قائمة طعام
appLEditProfile,Edit Profile,Editar perfil,تحرير الملف الشخصي
appLYourMoneyHasBeen,Your money has been transferred from your existing balance in your NFCPay wallet.,Su dinero ha sido transferido desde su saldo existente en su billetera NFCPay.,لقد تم تحويل أموالك من رصيدك الحالي في محفظة NFCPay الخاصة بك.
appLAccessYourFull,Access your full transaction statement for detailed records here.,Acceda a su estado de cuenta completo de la transacción para obtener registros detallados aquí.,قم بالوصول إلى بيان المعاملة الكامل الخاص بك للحصول على سجلات مفصلة هنا.
appLSettings,Settings,Ajustes,إعدادات
appLManageKyc2fa,Manage KYC 2FA Language preferences Password reset and Dark/Light mode here.,Administre las preferencias de idioma KYC 2FA Restablecimiento de contraseña y modo Oscuro/Claro aquí.,إدارة تفضيلات لغة KYC 2FA إعادة تعيين كلمة المرور والوضع الداكن/الفاتح هنا.
appLHelpCenter,Help Center,Centro de ayuda,مركز المساعدة
appLGetSupportAnd,Get support and find answers to your questions at the Help Center.,Obtenga soporte y encuentre respuestas a sus preguntas en el Centro de ayuda.,احصل على الدعم واعثر على إجابات لأسئلتك في مركز المساعدة.
appLPrivacyPolicy,Privacy & Policy,Política de privacidad,سياسة الخصوصية
appLReviewOurPrivacy,Review our Privacy Policy to see how we protect your data.,Revise nuestra Política de Privacidad para ver cómo protegemos sus datos.,قم بمراجعة سياسة الخصوصية الخاصة بنا لمعرفة كيف نحمي بياناتك.
appLAboutUs,About Us,Sobre nosotros,معلومات عنا
appLLogOut,Logout,Cerrar sesión,تسجيل الخروج
appLChangePassword,Change Password,Cambiar la contraseña,تغيير كلمة المرور
appLOldPassword,Old Password,Contraseña anterior,كلمة المرور القديمة
appLLanguage,Language,Idioma,لغة
appLKycVerification,KYC Verification,Verificación KYC,التحقق من KYC
appLPleaseSubmitYour,Please submit your KYC information with valid and accurate data.,Envíe su información KYC con datos válidos y precisos.,يرجى تقديم معلومات KYC الخاصة بك مع بيانات صحيحة ودقيقة.
appLTwoFaSecurity,2FA Security,Seguridad 2FA,2FA الأمن
appLEnable2faTo,Enable 2FA to add an extra layer of security to your account.,Habilite 2FA para agregar una capa adicional de seguridad a su cuenta.,قم بتمكين المصادقة الثنائية (2FA) لإضافة طبقة إضافية من الأمان إلى حسابك.
appLThemeMode,Theme Mode,Modo temático,وضع الموضوع
appLDeleteAccount,Delete Account,Eliminar cuenta,حذف الحساب
appLDelete,Delete,Borrar,يمسح
appLLearnAboutOur,Learn about our company and what we stand for in this section.,Conozca nuestra empresa y lo que representamos en esta sección.,تعرف على شركتنا وما نمثله في هذا القسم.
appLDate,Date,Fecha,تاريخ
appLEnable,Enable,Permitir,يُمكَِن
appLDisable,Disable,Desactivar,إبطال
appLTransactionId,Transaction ID,ID de transacción,معرف المعاملة
appLTwoFaVerification,Two FA Verification,Verificación de dos FA,اثنان من التحقق من اتحاد كرة القدم
appLCancel,Cancel,Cancelar,يلغي
appLLogOutAlert,Log Out Alert,Alerta de cierre de sesión,تنبيه تسجيل الخروج
appLLogOutNote,Are you sure you want to log out?You’ll need to log back in to continue your session,¿Está seguro de que desea cerrar sesión? Deberá volver a iniciar sesión para continuar su sesión,هل أنت متأكد من أنك تريد تسجيل الخروج؟ ستحتاج إلى تسجيل الدخول مرة أخرى لمواصلة جلستك
appLDeleteAccountAlert,Delete Account Alert,Eliminar alerta de cuenta,حذف تنبيه الحساب
appLDeleteAccountNote,"Are you sure you want to delete your account? This action is permanent and cannot be undone. All your data, settings, and preferences will be permanently removed.","¿Estás seguro de que quieres eliminar tu cuenta? Esta acción es permanente y no se puede deshacer. Todos sus datos, configuraciones y preferencias se eliminarán permanentemente.",هل أنت متأكد أنك تريد حذف حسابك؟ هذا الإجراء دائم ولا يمكن التراجع عنه. ستتم إزالة جميع بياناتك وإعداداتك وتفضيلاتك نهائيًا.
appLZipCode,Zip Code,Código postal,الرمز البريدي
appLCountry,Country,País,دولة
appLPhone,Phone,Teléfono,هاتف
appLAddress,Address,DIRECCIÓN,عنوان
appLCity,City,Ciudad,مدينة
appLState,State,Estado,ولاية
appLPaymentInstructions,Payment Instructions,Instrucciones de pago,تعليمات الدفع
appLCardDetails,Card Details,Detalles de la tarjeta,تفاصيل البطاقة
appLProofOfIdentity,Proof Of Identity,Documentos de identidad,إثبات الهوية
appLSubmitValidDocuments,"Submit valid documents, such as a NID, Passport or Driving License, to verify your identity.","Presentar documentos válidos, como DNI, Pasaporte o Licencia de Conducir, para verificar su identidad.",أرسل مستندات صالحة، مثل NID أو جواز السفر أو رخصة القيادة للتحقق من هويتك.
appLTwoFactorAuthorization,Two Factor Authorization,Autorización de dos factores,إذن عاملين
appLPleaseEnterYourAuthorizationCode,Please enter your authorization code to access dashboard.,Ingrese su código de autorización para acceder al panel.,الرجاء إدخال رمز التفويض الخاص بك للوصول إلى لوحة التحكم.
appLError,Error,Error,خطأ
appLAgreeToTerms,Please agree to the terms and conditions,Por favor acepta los términos y condiciones.,يرجى الموافقة على الشروط والأحكام
appLCompanyName,Company Name,nombre de empresa,اسم الشركة
appLAccountType,Account Type,Tipo de cuenta,نوع الحساب
appLPersonalAccount,Personal Account,Cuenta personal,الحساب الشخصي
appLBusinessAccount,Business Account,Cuenta comercial,حساب الأعمال
appLMoneyOut,Money Out,Salida de dinero,المال خارج
appLFundTransfer,Fund Transfer,Transferencia de fondos,تحويل الأموال
appLTransactions,Transactions,Actas,المعاملات
appLVirtualCard,Virtual Card,Tarjeta Virtual,البطاقة الافتراضية
appLHistory,History,Historia,تاريخ
appLBeneficiary,Beneficiary,Beneficiario,المستفيد
appLSearch,Search,Buscar,يبحث
appLSearchBeneficiary,Search Beneficiary,Buscar beneficiario,بحث المستفيد
appLNoDataFound,No transaction found,No se encontró ninguna transacción,لم يتم العثور على أي معاملة
appLAddBeneficiary,Add Beneficiary,Agregar beneficiario,إضافة مستفيد
appLBeneficiaryType,Beneficiary Type,Tipo de beneficiario,نوع المستفيد
appLSelectType,Select Type,Seleccionar tipo,حدد النوع
appLSelectBank,Select Bank,Seleccionar banco,حدد البنك
appLAccountNumber,Account Number,Número de cuenta,رقم الحساب
appLAccountHolderName,Account Holder Name,Nombre del titular de la cuenta,اسم صاحب الحساب
appLAccountHolderNumber,Account Holder Number,Número de titular de cuenta,رقم صاحب الحساب
appLPreview,Preview,Avance,معاينة
appLSelectBeneficiary,Select Beneficiary,Seleccionar Beneficiario,اختر المستفيد
appLSelect,Select,Seleccionar,يختار
appLMinAmount,Min Amount,Cantidad mínima,الحد الأدنى للمبلغ
appLMaxAmount,Max Amount,Cantidad máxima,المبلغ الأقصى
appLCurrentBalance,Current Balance,Saldo actual,الرصيد الحالي
appLCardBrand,Card Brand,Marca de tarjeta,العلامة التجارية للبطاقة
appLCardId,Card ID,Identificación de tarjeta,معرف البطاقة
appLCustomerId,Customer ID,ID de cliente,معرف العميل
appLCvv,Cvv,cvv,السيرة الذاتية
appLExpiration,Expiration,Vencimiento,انتهاء
appLUnFreeze,UnFreeze,Descongelar,إلغاء التجميد
appLFreeze,Freeze,Congelar,تجميد
appLBillingAddress,Billing Address,Dirección de Envio,عنوان الفواتير
appLStatusUpdate,Status Update,Actualización de estado,تحديث الحالة
appLAddFund,Add Fund,Agregar fondo,أضف الصندوق
appLCardFund,Card Fund,Fondo de tarjeta,صندوق البطاقة
appLCreateVirtualCard,Create Virtual Card,Crear tarjeta virtual,إنشاء بطاقة افتراضية
appLBuyCard,Buy Card,Comprar Tarjeta,شراء البطاقة
appLUpdateCustomerKyc,Update Customer Kyc,Actualizar Kyc del cliente,تحديث عميل Kyc
appLUpdateCustomer,Update Customer,Actualizar cliente,تحديث العميل
appLStatusOfTheCustomer,Status of the customer,Estado del cliente,حالة العميل
appLMakeDefault,Make Default,Establecer como predeterminado,جعل الافتراضي
appLDefaultText,Default,Por defecto,تقصير
appLDetails,Details,Detalles,تفاصيل
appLFund,Fund,Financiar,تمويل
appLVirtualCardTransaction,Virtual Card Transaction,Transacción con tarjeta virtual,معاملات البطاقة الافتراضية
appLRequestAmount,Request Amount,Monto solicitado,مبلغ الطلب
appLWillGet,Will Get,obtendrá,سوف تحصل
appLGatewayName,Gateway Name,Nombre de la puerta de enlace,اسم البوابة
appLSetupPin,Setup Pin,Pin de configuración,دبوس الإعداد
appLSetYourPin,Set Your Pin,Establece tu PIN,قم بتعيين الدبوس الخاص بك
appLOldPin,Old Pin,Pin viejo,دبوس قديم
appLNewPin,New Pin,Nuevo pin,دبوس جديد
appLSelectDate,Select Date,Seleccionar fecha,اختر التاريخ
appLFilterData,Filter Data,Filtrar datos,تصفية البيانات
appLFilterByDate,Filter By Date,Filtrar por fecha,تصفية حسب التاريخ
appLTrxId,Trx Id,ID de tratamiento,معرف تركس
appLFilterByTrx,Filter By Trx Id,Filtrar por ID de Trx,التصفية حسب معرف Trx
appLFilterByType,Filter By Type,Filtrar por tipo,تصفية حسب النوع
appLFilterByStatus,Filter By Status,Filtrar por estado,تصفية حسب الحالة
appLTransactionType,Transaction Type,Tipo de transacción,نوع المعاملة
appLBeneficiarySubType,Beneficiary Sub Type,Subtipo de beneficiario,نوع المستفيد الفرعي
appLBankName,Bank Name,Nombre del banco,اسم البنك
appLBranchName,Branch Name,Nombre de la sucursal,اسم الفرع
appLDownloadStatement,Download Statement,Descargar Declaración,تحميل البيان
appLDownload,Download,Descargar,تحميل
appLAccountHolderEmail,Account Holder Email,Correo electrónico del titular de la cuenta,البريد الإلكتروني لصاحب الحساب
appLMyCard,My Card,Mi tarjeta,بطاقتي
appLNoRecordFound,No Record Found,No se encontró ningún registro,لم يتم العثور على سجل
appLNoBeneficiary,No beneficiaries have been added yet. It seems like you havent set up any beneficiaries. Please add a beneficiary to proceed,Aún no se han agregado beneficiarios. Parece que no ha configurado ningún beneficiario. Por favor agregue un beneficiario para continuar,لم تتم إضافة أي مستفيدين حتى الآن. يبدو أنك لم تقم بإعداد أي مستفيدين. يرجى إضافة مستفيد للمتابعة
appLNoBeneficiaryFound,No beneficiaries found. Please add a beneficiary to proceed.,No se encontraron beneficiarios. Agregue un beneficiario para continuar.,لم يتم العثور على المستفيدين. يرجى إضافة مستفيد للمتابعة.
appLSetupPinDetails,Set up a secure PIN to authorize every transaction. Keep it private for enhanced security.,Configure un PIN seguro para autorizar cada transacción. Manténgalo privado para mayor seguridad.,قم بإعداد رقم تعريف شخصي آمن لتخويل كل معاملة. اجعلها خاصة لتعزيز الأمان.
appLBankStatement,Bank Statement,Extracto de cuenta,كشف حساب البنك
appLVerifyYourPin,Verify Your PIN,Verifique su PIN,تحقق من رقم التعريف الشخصي الخاص بك
appLPin,Pin,Alfiler,دبوس
appLPinMatchedSuccessfully,Pin matched successfully.,El pin coincidió correctamente.,تمت مطابقة الدبوس بنجاح.
appLPinNotMatched,Pin not matched.,Pin no coincidente.,رقم التعريف الشخصي غير متطابق.
appLCheckYourPin,Check your pin,Comprueba tu pin,تحقق من رقم التعريف الشخصي الخاص بك
appLStatementDetails,Access your complete bank statement for a detailed overview of your transactions here.,Acceda a su extracto bancario completo para obtener una descripción detallada de sus transacciones aquí.,قم بالوصول إلى كشف حسابك البنكي الكامل للحصول على نظرة عامة مفصلة عن معاملاتك هنا.
appLDeleteBeneficiary,Delete Beneficiary,Eliminar beneficiario,حذف المستفيد
appLAccount,Account,Cuenta,حساب
appLKycStatus,KYC Status,Estado KYC,حالة اعرف عميلك
appLKycStatusDetails,Your KYC is not verified yet.,Su KYC aún no está verificado.,لم يتم التحقق من KYC الخاص بك بعد.
appLGender,Gender,Género,جنس
appLMale,Male,Masculino,ذكر
appLFemale,Female,Femenino,أنثى
appLUpload,Upload,Subir,رفع
appLDateOfBirth,Date of Birth,Fecha de nacimiento,تاريخ الميلاد
appLSelectBranch,Select Branch,Seleccionar Sucursal,حدد الفرع
appLAccountDoesNotExists,Account doesnt exists!,¡La cuenta no existe!,الحساب غير موجود!
appLSkip,Skip,Saltar,يتخطى
appLPleaseSetupYour,Please setup your pin first,Por favor configura tu pin primero,يرجى إعداد رقم التعريف الشخصي الخاص بك أولاً
appLDeleteBeneficiaryAlert,"Are you sure you want to delete this beneficiary? This action cannot be undone, and you will need to re-add the beneficiary to perform future transactions.",¿Está seguro de que desea eliminar este beneficiario? Esta acción no se puede deshacer y deberá volver a agregar al beneficiario para realizar transacciones futuras.,هل أنت متأكد أنك تريد حذف هذا المستفيد؟ لا يمكن التراجع عن هذا الإجراء، وسوف تحتاج إلى إعادة إضافة المستفيد لإجراء المعاملات المستقبلية.
